data_type,id,page_number,type,text_type,hierarchy_level,content,parent_id,children_ids,position_x0,position_y0,position_x1,position_y1,font_size,font_weight,alignment,language_code,language_name,language_confidence,writing_system,table_id,figure_id,footnote_ids,is_multi_column,table_row,table_column,is_header,table_rows,table_columns,chart_type,series_name,category,value,unit,char_count,word_count,sentence_count,token_count,avg_word_length,has_numbers,has_special_chars,has_capitalized_words,ends_with_punctuation,normalized_x0,normalized_y0,normalized_x1,normalized_y1,normalized_center_x,normalized_center_y,relative_to_page_center,relative_page_position,is_first_page,is_last_page,previous_block_type,previous_block_hierarchy,distance_to_previous,next_block_type,next_block_hierarchy,distance_to_next,section_block_count,section_position,font_weight_bold,alignment_left,alignment_center,alignment_right,is_title,is_heading,is_paragraph,has_table,has_figure,has_footnotes,footnote_count,writing_system_ltr,writing_system_rtl
content_block,page_0_block_0,1,text,title,1,40,,,519.05,32.18,544.24,77.23,34.0,bold,right,unknown,Unknown,0.0,ltr,,,,False,,,,,,,,,,,2,1,0,1,2.0,True,False,False,False,0.8650833333333332,0.038223520222457986,0.9070666666666667,0.0917340729266759,0.886075,0.06497879657456694,0.38607499999999995,0.1,True,False,,,,title,1,-34.71,0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0
content_block,page_0_block_1,1,text,title,1,2025,,,543.21,42.52,555.13,61.2,9.0,bold,right,unknown,Unknown,0.0,ltr,,,,False,,,,,,,,,,,4,1,0,1,4.0,True,False,False,False,0.9053500000000001,0.050505409566777924,0.9252166666666667,0.07269358103214509,0.9152833333333334,0.0615994952994615,0.41528333333333345,0.1,True,False,title,1,-34.71,title,1,35.989999999999995,0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0
content_block,page_0_block_2,1,text,title,1,AT A GLANCE,,,267.38,97.19,327.9,107.05,9.0,bold,center,hu,Hungarian,1.0,ltr,,,,False,,,,,,,,,,,11,3,0,3,3.0,False,False,False,False,0.4456333333333333,0.11544263301493758,0.5465,0.12715437662567206,0.49606666666666666,0.12129850482030484,0.003933333333333344,0.1,True,False,title,1,35.989999999999995,title,1,17.560000000000002,0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0
content_block,page_0_block_3,1,text,title,1,"Fiscal Capacity of German federal states: East- West gap narrows, but rich-poor divide grows",,"page_0_block_4,page_0_block_5,page_0_block_6,page_0_block_7,page_0_block_8,page_0_block_9,page_0_block_10,page_0_block_11,page_0_block_12,page_0_block_13,page_0_block_14,page_0_block_15,page_0_block_16,page_0_block_17,page_0_block_18,page_0_block_19,page_0_block_20,page_0_block_21,page_0_block_22,page_0_block_23,page_0_block_24,page_0_block_25,page_0_block_26,page_0_block_27",42.52,124.61,505.12,184.41,24.0,bold,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,92,14,0,14,5.642857142857143,False,True,True,False,0.07086666666666668,0.1480122080460065,0.8418666666666667,0.21904286402186068,0.45636666666666664,0.1835275360339336,0.04363333333333336,0.1,True,False,title,1,17.560000000000002,author,4,4.3300000000000125,0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0
content_block,page_0_block_4,1,text,author,4,By Kristina van Deuverden,page_0_block_3,,42.52,188.74,147.24,197.51,8.0,bold,left,nl,Dutch,1.0,ltr,,,,False,,,,,,,,,,,25,4,0,4,5.5,False,False,True,False,0.07086666666666668,0.22418605366024613,0.2454,0.23460309133429696,0.15813333333333335,0.22939457249727155,0.34186666666666665,0.1,True,False,title,1,4.3300000000000125,paragraph,5,21.450000000000017,23,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0
content_block,page_0_block_5,1,text,paragraph,5,• Financial capacity and economic power of eastern German states still below average 35 years after unification,page_0_block_3,,42.52,218.96,530.51,246.39,12.0,normal,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,111,17,0,17,5.588235294117647,True,True,True,False,0.07086666666666668,0.26008147880389687,0.8841833333333333,0.2926629318710821,0.477525,0.2763722053374895,0.022475000000000023,0.1,True,False,author,4,21.450000000000017,paragraph,5,6.820000000000022,23,0.043478260869565216,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_6,1,text,paragraph,5,• But former East German states catching up with financially weak western German counterparts; gap between rich and poor widening nationwide,page_0_block_3,,42.52,253.21,538.97,280.64,12.0,normal,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,140,21,0,21,5.714285714285714,False,True,True,False,0.07086666666666668,0.3007637525024421,0.8982833333333334,0.3333452055696274,0.48457500000000003,0.31705447903603473,0.015424999999999967,0.1,True,False,paragraph,5,6.820000000000022,paragraph,5,6.819999999999993,23,0.08695652173913043,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_7,1,text,paragraph,5,"• In the long run, population declines—particularly in eastern Germany—amplify uneven development, increasing the need for equalization payments",page_0_block_3,,42.52,287.46,497.39,314.89,12.0,normal,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,144,18,0,18,7.055555555555555,False,True,True,False,0.07086666666666668,0.3414460262009873,0.8289833333333333,0.3740274792681726,0.44992499999999996,0.35773675273457994,0.050075000000000036,0.1,True,False,paragraph,5,6.819999999999993,paragraph,5,6.819999999999993,23,0.13043478260869565,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_8,1,text,paragraph,5,"• Scenario calculations show that, if trends over the last decade continue, disparities are likely to grow until 2070",page_0_block_3,,42.52,321.71,536.45,349.14,12.0,normal,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,117,19,0,19,5.2105263157894735,True,True,True,False,0.07086666666666668,0.38212829989953256,0.8940833333333335,0.41470975296671786,0.48247500000000004,0.39841902643312516,0.017524999999999957,0.1,True,False,paragraph,5,6.819999999999993,paragraph,5,6.810000000000002,23,0.17391304347826086,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_9,1,text,paragraph,5,"• Financially strong states should assume more responsibility, while poorer states should be strengthened in the long term, irrespective of geographical location",page_0_block_3,,42.52,355.95,513.59,383.39,12.0,normal,center,en,English,1.0,ltr,,,,False,,,,,,,,,,,161,22,0,22,6.363636363636363,False,True,True,False,0.07086666666666668,0.4227986955619614,0.8559833333333334,0.45539202666526307,0.46342500000000003,0.43909536111361225,0.03657499999999997,0.1,True,False,paragraph,5,6.810000000000002,paragraph,5,58.78000000000003,23,0.21739130434782608,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_17,1,text,paragraph,5,The gap between the rich and poor states is widening more and more,page_0_block_3,,49.61,442.17,349.06,452.83,10.0,normal,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,66,13,0,13,4.153846153846154,False,False,True,False,0.08268333333333333,0.5252111229572483,0.5817666666666667,0.5378731094572917,0.332225,0.53154211620727,0.167775,0.1,True,False,paragraph,5,58.78000000000003,paragraph,5,10.120000000000005,23,0.2608695652173913,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_23,1,text,paragraph,5,Tax revenue per capita as a percentage of the national average1 Recipient states West,page_0_block_3,,51.61,462.95,505.33,480.22,9.0,normal,right,en,English,1.0,ltr,,,page_0_block_25,True,,,,,,,,,,,85,14,0,14,5.142857142857143,True,False,True,False,0.08601666666666667,0.5498936820070517,0.8422166666666666,0.5704070503800116,0.4641166666666666,0.5601503661935318,0.03588333333333338,0.1,True,False,paragraph,5,10.120000000000005,paragraph,5,-16.840000000000032,23,0.30434782608695654,0,0,0,1,0,0,1,0,0,0,0,1,0
content_block,page_0_block_21,1,text,paragraph,5,Recipient states East,page_0_block_3,,122.13,463.38,178.27,480.22,8.31,normal,left,ca,CA,1.0,ltr,,,,False,,,,,,,,,,,21,3,0,3,6.333333333333333,False,False,True,False,0.20354999999999998,0.5504044375600553,0.2971166666666667,0.5704070503800116,0.2503333333333333,0.5604057439700335,0.2496666666666667,0.1,True,False,paragraph,5,-16.840000000000032,paragraph,5,-1.6900000000000546,23,0.34782608695652173,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_26,1,text,paragraph,5,150 2025 2070,page_0_block_3,,219.21,478.53,490.5,500.19,15.25,normal,center,unknown,Unknown,0.0,ltr,,,,False,,,,,,,,,,,13,3,0,3,3.6666666666666665,True,False,False,False,0.36535,0.5683996622763461,0.8175,0.5941274885043897,0.591425,0.5812635753903679,0.09142499999999998,0.1,True,False,paragraph,5,-1.6900000000000546,paragraph,5,14.989999999999952,23,0.391304347826087,0,0,1,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_27,1,text,paragraph,5,Fiscal capacity in Germany,page_0_block_3,,149.53,515.18,217.22,540.65,13.0,normal,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,26,4,0,4,5.75,False,False,True,False,0.24921666666666667,0.6119326646428186,0.3620333333333333,0.6421860226311966,0.305625,0.6270593436370077,0.19437500000000002,0.1,True,False,paragraph,5,14.989999999999952,footnote,7,-19.100000000000023,23,0.43478260869565216,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_25,1,text,footnote,7,100,page_0_block_3,,218.7,521.55,230.7,529.72,8.0,normal,left,unknown,Unknown,0.0,ltr,,,,False,,,,,,,,,,,3,1,0,1,3.0,True,False,False,False,0.3645,0.6194989736489422,0.3845,0.6292033291560113,0.3745,0.6243511514024768,0.1255,0.1,True,False,paragraph,5,-19.100000000000023,footnote,7,34.83999999999992,23,0.4782608695652174,0,1,0,0,0,0,0,0,0,0,0,1,0
content_block,page_0_block_24,1,text,footnote,7,50,page_0_block_3,,221.47,564.56,230.23,572.72,8.0,normal,left,unknown,Unknown,0.0,ltr,,,,False,,,,,,,,,,,2,1,0,1,2.0,True,False,False,False,0.36911666666666665,0.6705864069854219,0.38371666666666665,0.6802788844563747,0.3764166666666667,0.6754326457208983,0.12358333333333332,0.1,True,False,footnote,7,34.83999999999992,paragraph,5,39.66999999999996,23,0.5217391304347826,0,1,0,0,0,0,0,0,0,0,0,1,0
content_block,page_0_block_19,1,text,paragraph,5,Donor states West,page_0_block_3,,80.14,612.39,142.11,620.92,8.31,normal,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,17,3,0,3,5.0,False,False,True,False,0.13356666666666667,0.7273990537299889,0.23685000000000003,0.737531018537247,0.18520833333333334,0.732465036133618,0.3147916666666667,0.1,True,False,footnote,7,39.66999999999996,paragraph,5,-8.089999999999918,23,0.5652173913043478,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_22,1,text,paragraph,5,BW BY HE NI NW RP SL SH BB MV SN ST TH BW BY HE NI NW RP SL SH BB MV SN ST TH,page_0_block_3,,243.17,612.83,539.35,621.04,8.0,normal,right,de,German,1.0,ltr,,,,False,,,,,,,,,,,77,26,0,26,2.0,False,False,False,False,0.40528333333333333,0.727921687319109,0.8989166666666667,0.7376735549706435,0.6521,0.7327976211448761,0.1521,0.1,True,False,paragraph,5,-8.089999999999918,caption,6,2.6200000000000045,23,0.6086956521739131,0,0,0,1,0,0,1,0,0,0,0,1,0
content_block,page_0_block_18,1,text,caption,6,© DIW Berlin 2025 1 City-states not included; scenario with medium immigration assuming tax trends over the last ten years will continue. Source: Author’s own calculations based on the middle variant of the Federal Statistical Ofﬁce’s 15th Coordinated Population Projection.,page_0_block_3,,49.61,623.66,545.79,639.21,7.0,normal,center,en,English,1.0,ltr,,,page_0_block_25,False,,,,,,,,,,,274,40,2,40,5.875,True,True,True,True,0.08268333333333333,0.7407856004331307,0.90965,0.7592559465940761,0.49616666666666664,0.7500207735136033,0.0038333333333333552,0.1,True,False,paragraph,5,2.6200000000000045,subheading,3,59.370000000000005,23,0.6521739130434783,0,0,1,0,0,0,0,0,0,0,0,1,0
content_block,page_0_block_12,1,text,subheading,3,FROM THE AUTHORS,page_0_block_3,,149.06,698.58,247.79,708.45,9.0,bold,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,16,3,0,3,4.666666666666667,False,False,False,False,0.24843333333333334,0.8297758470169266,0.4129833333333333,0.8414994686637776,0.3307083333333333,0.8356376578403522,0.16929166666666667,0.1,True,False,caption,6,59.370000000000005,paragraph,5,14.839999999999918,23,0.6956521739130435,1,1,0,0,0,1,0,0,0,0,0,1,0
content_block,page_0_block_10,1,text,subheading,3,MEDIA,page_0_block_3,,445.22,698.58,476.04,708.45,9.0,bold,left,sw,Swahili,1.0,ltr,,,,False,,,,,,,,,,,5,1,0,1,5.0,False,False,False,False,0.7420333333333334,0.8297758470169266,0.7934,0.8414994686637776,0.7677166666666667,0.8356376578403522,0.2677166666666667,0.1,True,False,caption,6,59.370000000000005,paragraph,5,14.839999999999918,23,0.7391304347826086,1,1,0,0,0,1,0,0,0,0,0,1,0
content_block,page_0_block_13,1,text,paragraph,5,"“35 years since German unification, the former East German states are increasingly",page_0_block_3,,42.52,723.29,337.5,734.1,9.0,normal,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,82,12,0,12,5.916666666666667,True,True,True,False,0.07086666666666668,0.859126474260461,0.5625,0.87196663130225,0.3166833333333333,0.8655465527813555,0.18331666666666668,0.1,True,False,subheading,3,14.839999999999918,paragraph,5,3.189999999999941,23,0.782608695652174,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_14,1,text,paragraph,5,closing the gap on their financially weak western German counterparts. Today the divide,page_0_block_3,,42.52,737.29,355.19,748.1,9.0,normal,left,en,English,1.0,ltr,,,,False,,,,,,,,,,,87,13,1,13,5.769230769230769,False,True,True,False,0.07086666666666668,0.8757557248233699,0.5919833333333333,0.8885958818651591,0.33142499999999997,0.8821758033442645,0.16857500000000003,0.1,True,False,paragraph,5,3.189999999999941,paragraph,5,3.199999999999932,23,0.8260869565217391,0,1,0,0,0,0,1,0,0,0,0,1,0
content_block,page_0_block_15,1,text,paragraph,5,is no longer between east and west but between rich and poor.”,page_0_block_3,,42.52,751.3,263.07,762.1,9.0,normal,left,nl,Dutch,0.571,ltr,,,,False,,,,,,,,,,,62,12,1,12,4.25,False,True,False,False,0.07086666666666668,0.8923968534223954,0.43845,0.9052251324280681,0.2546583333333333,0.8988109929252318,0.24534166666666668,0.1,True,False,paragraph,5,3.199999999999932,footnote,7,13.299999999999955,23,0.8695652173913043,0,1,0,0,0,0,1,0,0,0,0,1,0
